Defect Type,FID Value
all_defect,32.6139130945993
double_crossing,37.096403080905205
gap_crossing,32.63153895154156
gap_double,33.193750866952335
no_defect,37.61367125198796
only_crossing,30.19972170126083
only_double,35.61915755952176
only_gap,30.887064170797824
